step,train_acc,test_acc,loss
50,3.4423828125,3.076171875,3.4441781044006348
100,3.61328125,3.0029296875,3.4484477043151855
150,4.052734375,2.8076171875,3.432457208633423
200,5.7861328125,3.955078125,3.351038932800293
250,22.1923828125,18.1884765625,2.5546956062316895
300,42.1875,35.8154296875,1.8529894351959229
350,56.1767578125,52.1240234375,1.40781569480896
400,83.3251953125,80.1513671875,0.8822975158691406
450,95.556640625,94.7021484375,0.3573230504989624
500,98.876953125,98.388671875,0.1525111347436905
550,78.4912109375,77.0751953125,1.381553053855896
600,99.5361328125,99.267578125,0.08278168737888336
650,99.7802734375,99.462890625,0.050204817205667496
700,99.951171875,99.7314453125,0.032962437719106674
750,99.6337890625,99.5361328125,0.05321503058075905
800,99.6337890625,99.2919921875,0.11025957018136978
850,99.8291015625,99.7314453125,0.04254662245512009
900,99.9755859375,99.90234375,0.0357944518327713
950,99.8291015625,99.755859375,0.029384590685367584
1000,98.291015625,97.75390625,0.24422460794448853
1050,99.8046875,99.6826171875,0.06627753376960754
1100,99.9755859375,100.0,0.048781868070364
1150,99.9267578125,99.8046875,0.035421330481767654
1200,94.7998046875,94.1650390625,0.4609692394733429
1250,99.951171875,99.90234375,0.05611712485551834
1300,99.9267578125,99.8779296875,0.04024432599544525
1350,88.4521484375,87.7685546875,0.5596390962600708
1400,99.951171875,99.853515625,0.07590851932764053
1450,100.0,99.9267578125,0.046415235847234726
1500,3.173828125,3.173828125,5.996051788330078
1550,3.22265625,3.2470703125,3.4382216930389404
1600,3.61328125,2.783203125,3.4397172927856445
1650,3.369140625,2.7587890625,3.4436182975769043
1700,3.0517578125,3.0029296875,3.4392623901367188
1750,3.5888671875,2.880859375,3.433953285217285
1800,3.22265625,3.173828125,3.447221279144287
1850,3.02734375,2.83203125,3.4351911544799805
1900,3.4912109375,3.564453125,3.4435548782348633
1950,4.5166015625,3.759765625,3.4237067699432373
2000,6.54296875,6.25,3.2528703212738037
2050,20.60546875,19.2626953125,2.3211569786071777
2100,33.203125,33.740234375,1.7440223693847656
2150,42.2607421875,41.1865234375,1.3845856189727783
2200,75.341796875,74.3896484375,1.233591079711914
2250,61.5234375,59.619140625,1.2910974025726318
2300,85.4248046875,83.3740234375,0.9856898784637451
2350,53.515625,52.5634765625,0.9828373193740845
2400,70.556640625,68.06640625,0.9084094762802124
2450,71.2158203125,71.97265625,0.8827009201049805
2500,76.8310546875,75.390625,0.9014445543289185
2550,87.939453125,87.20703125,0.7040038108825684
2600,58.984375,57.6416015625,0.8066397905349731
2650,88.2568359375,86.3037109375,0.6817693710327148
2700,65.8447265625,66.3818359375,0.7235605716705322
2750,75.6591796875,74.072265625,0.8460506200790405
2800,74.51171875,76.46484375,0.6860959529876709
2850,77.7099609375,76.318359375,0.7588533163070679
2900,66.943359375,67.1875,0.6719036102294922
2950,58.349609375,57.6904296875,0.9154806137084961
3000,60.498046875,59.08203125,0.8648806810379028
3050,76.7822265625,75.1708984375,0.6485152244567871
3100,66.845703125,66.8212890625,0.6210921406745911
3150,65.2099609375,66.0888671875,0.6815162897109985
3200,92.2119140625,91.015625,0.5385569334030151
3250,54.248046875,53.466796875,0.9942969083786011
3300,75.87890625,76.3427734375,0.9414995312690735
3350,70.7763671875,71.2158203125,0.7012069225311279
3400,72.75390625,74.2431640625,0.6059927940368652
3450,71.9970703125,70.0927734375,0.9804141521453857
3500,85.0830078125,83.935546875,0.8132134079933167
3550,80.9814453125,78.564453125,0.6984503865242004
3600,86.376953125,85.7421875,0.6318244934082031
3650,92.5537109375,92.578125,0.5295802354812622
3700,77.9296875,77.5146484375,0.6000041961669922
3750,94.2626953125,93.994140625,0.5055561065673828
3800,70.4833984375,70.654296875,0.7816620469093323
3850,71.728515625,69.970703125,0.6644140481948853
3900,91.3818359375,90.4296875,0.5688957571983337
3950,90.4052734375,88.916015625,0.6546224355697632
4000,59.3505859375,61.279296875,0.788671612739563
4050,70.8740234375,68.9208984375,0.5981011986732483
4100,78.8818359375,77.9296875,0.5700687170028687
4150,86.62109375,86.3525390625,0.610988199710846
4200,89.013671875,88.525390625,0.5513837933540344
4250,82.7392578125,81.6650390625,0.7055820226669312
4300,53.90625,54.296875,0.7383968234062195
4350,78.41796875,78.466796875,0.6108601689338684
4400,88.0859375,88.818359375,0.5331745743751526
4450,74.12109375,71.8017578125,0.5440306663513184
4500,71.2158203125,69.5556640625,0.5840438604354858
4550,88.330078125,87.451171875,0.5018342733383179
4600,88.5986328125,88.1591796875,0.5440701246261597
4650,93.9453125,94.4580078125,0.595433235168457
4700,87.5,87.2802734375,0.48528581857681274
4750,72.607421875,71.38671875,0.9066883325576782
4800,74.4140625,74.560546875,0.7896265983581543
4850,86.5234375,85.6689453125,0.6053456664085388
4900,54.7119140625,55.2490234375,0.6959596872329712
4950,71.7529296875,73.6572265625,0.8343244791030884
5000,81.6162109375,81.7138671875,0.5382354259490967
5050,42.431640625,43.26171875,1.3497064113616943
5100,75.5615234375,75.7568359375,0.9679863452911377
5150,94.1162109375,94.0673828125,0.6049450635910034
5200,41.796875,40.576171875,1.542407512664795
5250,72.4609375,70.5322265625,0.5228501558303833
5300,64.16015625,62.98828125,0.8807251453399658
5350,63.5498046875,61.71875,0.7872494459152222
5400,85.6201171875,85.546875,0.46534672379493713
5450,71.6796875,68.7744140625,0.5015414357185364
5500,33.349609375,32.5439453125,1.288014531135559
5550,76.5869140625,75.1953125,0.6982024908065796
5600,64.3310546875,65.13671875,0.9142345190048218
5650,91.357421875,91.1376953125,0.5323724746704102
5700,75.0244140625,73.876953125,0.6116931438446045
5750,66.89453125,66.796875,0.6624070405960083
5800,56.34765625,54.5166015625,0.8373904228210449
5850,65.8935546875,66.0888671875,0.6591607928276062
5900,48.9990234375,46.728515625,1.038718342781067
5950,79.3212890625,78.8330078125,0.6459326148033142
6000,70.947265625,71.77734375,0.9544832706451416
6050,84.1064453125,83.4716796875,0.7492477893829346
6100,86.0595703125,84.8388671875,0.5497421026229858
6150,54.1259765625,53.173828125,1.021255373954773
6200,64.111328125,64.2333984375,0.6470069885253906
6250,78.22265625,79.5166015625,0.6145907640457153
6300,88.818359375,87.939453125,0.42040273547172546
6350,93.0908203125,92.08984375,0.48538586497306824
6400,73.5595703125,72.6806640625,0.4694010019302368
6450,79.2236328125,78.3203125,0.5506038665771484
6500,64.9658203125,64.2333984375,0.691109299659729
6550,89.208984375,87.7197265625,0.40203696489334106
6600,74.365234375,73.193359375,0.5034253597259521
6650,76.6357421875,74.755859375,0.5387840270996094
6700,39.892578125,39.208984375,1.1575714349746704
6750,90.8203125,91.1376953125,0.5885160565376282
6800,70.068359375,68.896484375,0.6896781921386719
6850,74.6826171875,75.1708984375,0.666454017162323
6900,84.423828125,85.4248046875,0.4009166359901428
6950,78.9306640625,78.369140625,0.6841810941696167
7000,74.90234375,74.70703125,1.0904512405395508
7050,87.890625,86.5966796875,0.670702338218689
7100,75.7080078125,73.92578125,0.8923193216323853
7150,74.853515625,74.4384765625,0.7587411403656006
7200,85.9130859375,86.083984375,0.7594953179359436
7250,74.560546875,74.609375,0.9746600985527039
7300,83.2763671875,81.8115234375,0.5131630897521973
7350,49.0478515625,48.779296875,0.9287619590759277
7400,45.361328125,45.556640625,0.8988391757011414
7450,75.9033203125,76.3427734375,1.0686633586883545
7500,68.896484375,68.8232421875,0.7478190660476685
7550,79.19921875,79.7607421875,0.5568647384643555
7600,79.638671875,79.443359375,0.5656058192253113
7650,73.14453125,73.4375,0.6027163863182068
7700,87.5732421875,87.5,0.6085360646247864
7750,55.5419921875,54.7119140625,0.8184260129928589
7800,85.791015625,86.1572265625,0.7829141616821289
7850,83.1298828125,82.373046875,0.6521385908126831
7900,73.6328125,72.705078125,0.49488934874534607
7950,72.509765625,72.1435546875,1.124898910522461
8000,68.6279296875,67.96875,0.46789640188217163
8050,33.9599609375,33.2763671875,2.2047903537750244
8100,64.599609375,65.52734375,1.2432198524475098
8150,91.8701171875,90.380859375,0.45027798414230347
8200,85.693359375,85.6201171875,0.35819053649902344
8250,55.8349609375,56.005859375,1.326906681060791
8300,50.0732421875,51.611328125,0.721595048904419
8350,51.8798828125,52.63671875,0.8502302765846252
8400,54.3212890625,55.0048828125,1.534539818763733
8450,69.921875,68.3837890625,0.6973270177841187
8500,73.0712890625,72.705078125,0.48095667362213135
8550,65.185546875,63.7451171875,0.7743759155273438
