step,train_loss,train_acc,val_loss,val_acc
0,4.8028,0.39,4.7009,1.21
50,4.5952,2.15,4.6351,0.79
100,4.4987,2.54,4.7625,0.47
150,4.2476,5.47,5.2983,0.34
200,3.5501,21.29,5.8844,0.98
250,2.5009,38.67,6.8424,2.74
300,1.3776,63.87,7.0415,6.55
350,0.8637,74.41,5.4817,18.41
400,0.7757,75.00,3.0694,33.73
450,0.1804,95.70,0.8081,74.37
500,0.0524,99.22,0.2710,91.01
550,0.0237,99.61,0.1565,95.41
600,0.0058,100.00,0.0909,97.09
650,0.0063,100.00,0.0523,98.47
700,0.0089,99.80,0.0435,98.66
750,0.0017,100.00,0.0214,99.26
800,0.0009,100.00,0.0121,99.66
