step,train_acc,test_acc,loss
5,1.1267006397247314,0.9351753629744053,4.651139736175537
10,1.0416666977107525,0.8714133873581886,4.59234619140625
15,1.254251692444086,0.807651411741972,4.611237049102783
20,1.3392857275903225,0.6376195698976517,4.583252906799316
25,1.785714365541935,0.7863974198698997,4.568655967712402
30,2.1258503198623657,0.7651434745639563,4.569338321685791
35,2.1896257996559143,0.6801275070756674,4.537630081176758
40,2.7848638594150543,0.48884167335927486,4.501057147979736
45,3.0399659648537636,0.6588735617697239,4.491122722625732
50,3.2100338488817215,0.5526036024093628,4.4804463386535645
55,4.294217750430107,0.5313496105372906,4.460765361785889
60,4.719387739896774,0.3400637535378337,4.410897731781006
65,5.1232993602752686,0.31880978494882584,4.311764240264893
70,6.5476194024086,0.4463336896151304,4.31191349029541
75,7.525510340929031,0.5313496105372906,4.296295642852783
80,8.312074840068817,0.573857594281435,4.22992467880249
85,10.097789019346237,0.573857594281435,4.131082057952881
90,10.926871001720428,0.7863974198698997,4.124682426452637
95,12.244898080825806,0.5951115861535072,4.094386577606201
100,14.115646481513977,0.7863974198698997,4.079624176025391
105,15.433673560619354,1.0201913304626942,3.9897210597991943
110,16.75170063972473,0.9564293548464775,3.897792339324951
115,19.87670063972473,1.1689691804349422,3.8481099605560303
120,20.83333283662796,1.14771518856287,3.8730757236480713
125,22.045068442821503,1.232731156051159,3.7095930576324463
130,23.107993602752686,1.2964931316673756,3.5913822650909424
135,25.956633687019348,1.5090329572558403,3.6471166610717773
140,27.253401279449463,1.5940489247441292,3.5037245750427246
145,29.549318552017212,1.8916046246886253,3.4465482234954834
150,30.20833432674408,1.997874677181244,3.358245372772217
155,31.61139488220215,1.912858709692955,3.2929506301879883
160,34.46003496646881,2.465462312102318,3.316617012023926
165,35.969388484954834,2.3591922596096992,3.159406900405884
170,38.5629266500473,2.8692880645394325,3.056004524230957
175,40.582484006881714,3.294367715716362,3.0261967182159424
180,42.49574840068817,3.5706695169210434,2.938720226287842
185,44.04761791229248,3.528161346912384,2.8542141914367676
190,47.02380895614624,4.22954298555851,2.7505037784576416
195,49.149659276008606,4.293305054306984,2.675239324569702
200,50.17006993293762,4.165780916810036,2.651404619216919
205,51.55187249183655,4.760892689228058,2.629080057144165
210,53.911566734313965,5.164718255400658,2.5392708778381348
215,56.69642686843872,5.568544194102287,2.405674934387207
220,57.75935649871826,6.397449225187302,2.307758092880249
225,60.0977897644043,6.9287993013858795,2.253826379776001
230,61.054420471191406,6.971307098865509,2.1797103881835938
235,63.26530575752258,8.05526003241539,2.1081700325012207
240,65.85884094238281,8.140276372432709,2.0017523765563965
245,67.13435649871826,9.032943844795227,1.8930208683013916
250,68.40986609458923,10.095643252134323,1.8989477157592773
255,69.83418464660645,10.329436510801315,1.8249409198760986
260,71.17347121238708,11.0733263194561,1.7324477434158325
265,72.8741466999054,11.668437719345093,1.6728105545043945
270,75.2551019191742,12.093517184257507,1.5264495611190796
275,76.70068144798279,13.262486457824707,1.5781384706497192
280,78.08248400688171,13.645058870315552,1.4890090227127075
285,79.16666865348816,14.98405933380127,1.3617876768112183
290,80.59098720550537,15.090329945087433,1.295145869255066
295,81.84523582458496,16.004250943660736,1.2580405473709106
300,83.80101919174194,17.066949605941772,1.2396411895751953
305,84.07738208770752,17.407013475894928,1.1551655530929565
310,85.07652878761292,18.979808688163757,1.0638611316680908
315,86.47959232330322,19.319872558116913,0.9865143299102783
320,87.86139488220215,20.467588305473328,0.9912769794464111
325,89.07312750816345,21.083953976631165,0.9464865326881409
330,90.02976417541504,22.67800271511078,0.8590127229690552
335,90.77380895614624,22.529223561286926,0.8441423177719116
340,91.22023582458496,23.166844248771667,0.8125952482223511
345,92.72959232330322,23.99574965238571,0.730210542678833
350,93.30357313156128,25.270989537239075,0.7176292538642883
355,93.51615905761719,26.206162571907043,0.6675503849983215
360,94.34523582458496,26.652497053146362,0.6178973913192749
365,95.25935649871826,27.41764187812805,0.643856406211853
370,95.62074542045593,27.077576518058777,0.5589792728424072
