step,train_loss,train_acc,val_loss,val_acc
0,4.7873,1.17,4.7074,1.28
50,4.5614,1.37,4.6685,0.50
100,4.2197,8.79,4.9832,0.48
150,3.6382,27.54,4.9330,1.73
200,2.8889,44.73,4.7865,4.38
250,2.1662,57.03,4.5281,10.73
300,1.3312,80.66,4.0612,20.96
350,0.7210,91.41,3.6092,34.19
400,0.3912,98.44,3.2353,46.04
450,0.2309,99.61,2.9900,51.78
500,0.1692,99.80,2.8426,54.86
550,0.1453,100.00,2.7245,56.16
600,0.1157,100.00,2.6256,56.91
650,0.1308,99.61,2.5406,57.78
700,0.1414,100.00,2.4833,57.49
750,0.1037,100.00,2.4004,58.48
800,0.1308,100.00,2.3223,58.61
850,0.0974,100.00,2.2550,59.06
900,0.1028,100.00,2.1823,59.33
950,1.6978,58.40,3.3673,25.98
1000,0.1578,99.61,1.6404,62.67
1050,0.0836,100.00,1.4201,65.09
1100,0.0760,100.00,1.3072,66.68
1150,0.0775,100.00,1.2225,68.23
1200,0.0794,100.00,1.0853,71.25
1250,0.0824,100.00,0.9785,75.13
1300,0.0840,100.00,0.8410,78.48
1350,0.2998,99.61,0.7093,87.11
1400,0.0720,100.00,0.2619,98.22
1450,0.0545,100.00,0.2179,99.31
1500,0.0564,100.00,0.1975,99.65
