step,train_loss,train_acc,val_loss,val_acc
0,4.7873,0.78,4.6916,0.95
50,4.2590,8.20,4.8627,0.54
100,3.4429,28.32,5.1263,1.55
150,2.4609,53.71,5.2194,4.25
200,1.3366,81.64,5.2669,8.09
250,0.6663,94.34,5.2783,13.72
300,0.2595,99.80,5.2515,17.66
350,0.1509,100.00,5.1811,21.08
400,0.1105,100.00,5.0860,22.20
450,0.1044,100.00,5.0022,23.54
500,0.0928,100.00,4.9419,24.12
550,0.0907,100.00,4.8731,25.25
600,0.0831,100.00,4.8094,25.74
650,0.0938,100.00,4.7776,25.78
700,0.0684,100.00,4.7122,27.27
750,1.5950,64.45,5.4102,9.57
800,0.1264,100.00,5.0507,23.68
850,0.0634,100.00,4.9299,26.13
900,0.0648,100.00,4.8187,26.59
950,0.0711,100.00,4.7398,27.40
1000,0.0783,100.00,4.6999,27.98
1050,0.0703,100.00,4.6518,28.11
1100,0.4931,95.12,5.1037,19.38
1150,0.0670,100.00,4.9192,27.21
1200,0.0558,100.00,4.7964,28.22
1250,0.0640,100.00,4.6994,29.01
1300,0.0725,100.00,4.6344,29.15
1350,3.4443,28.91,4.9383,4.10
1400,0.1758,99.80,4.9052,26.00
1450,0.0590,100.00,4.7762,29.02
1500,0.0581,100.00,4.6559,29.76
1550,0.0660,100.00,4.5593,30.43
1600,0.0690,100.00,4.4776,30.53
1650,1.1506,81.25,5.0748,15.08
1700,0.1089,100.00,4.6536,28.79
1750,0.0602,100.00,4.5071,30.89
1800,0.0660,100.00,4.3935,31.18
1850,0.0790,100.00,4.3347,31.52
1900,4.0772,13.48,4.7368,2.86
1950,0.3200,98.83,4.3740,26.55
2000,0.0845,100.00,4.1484,31.54
2050,0.0722,100.00,4.0589,32.23
2100,0.0831,100.00,3.9772,32.70
2150,0.7125,92.58,4.1086,23.28
2200,0.0833,100.00,3.7150,32.60
2250,0.0698,100.00,3.6283,33.62
2300,0.0757,100.00,3.5553,33.75
2350,4.2954,8.98,4.7793,2.26
2400,0.4839,97.07,3.2678,30.22
2450,0.1147,100.00,2.9945,35.33
2500,0.0908,100.00,2.9214,36.17
2550,0.0944,100.00,2.8597,36.67
2600,0.2932,98.63,2.6149,36.38
2650,0.0878,100.00,2.3617,40.27
2700,0.0819,100.00,2.2787,41.27
2750,0.0857,100.00,2.1988,42.48
2800,0.2043,100.00,3.0611,27.39
2850,0.4466,98.44,1.6641,53.81
2900,0.1196,100.00,1.0912,70.34
2950,0.0952,100.00,0.9425,76.52
3000,0.0887,100.00,0.8201,82.29
3050,0.1014,100.00,0.7253,86.72
3100,4.7031,4.69,5.8652,1.81
3150,0.1640,100.00,0.4023,97.56
3200,0.0817,100.00,0.2233,99.67
