step,train_loss,train_acc,val_loss,val_acc
0,4.7538,1.76,4.7177,0.90
50,4.5402,1.95,4.6724,0.52
100,4.1524,14.06,4.9824,0.68
150,3.3767,32.42,4.9265,2.31
200,2.6433,45.12,4.7728,6.00
250,1.6686,71.68,4.4331,13.70
300,0.9953,87.50,3.9960,26.09
350,0.4944,96.09,3.5589,38.23
400,0.3080,98.83,3.2941,45.34
450,0.1730,100.00,3.1108,49.59
500,0.1359,100.00,2.9842,51.10
550,0.1278,100.00,2.8931,52.14
600,0.1125,99.80,2.8252,52.56
650,0.1083,100.00,2.7651,52.51
700,0.1086,100.00,2.6724,53.65
750,0.1112,100.00,2.6429,53.60
800,0.0930,100.00,2.5291,54.12
850,0.0883,100.00,2.4537,54.29
900,1.3159,73.83,3.4311,26.59
950,0.1408,100.00,2.1063,55.54
1000,0.0750,100.00,1.9117,57.10
1050,0.0726,100.00,1.8309,57.73
1100,0.0787,100.00,1.7401,58.54
1150,0.0978,99.80,1.6820,58.75
1200,0.0847,100.00,1.5336,61.20
1250,1.1099,78.91,2.2340,44.06
1300,0.0911,100.00,0.6242,85.79
1350,0.0619,100.00,0.5053,90.34
1400,0.0606,100.00,0.4516,93.03
1450,0.0620,100.00,0.4045,95.23
1500,0.0628,100.00,0.3488,97.24
1550,0.0798,100.00,0.3754,96.27
1600,0.4987,94.73,0.7000,86.94
1650,0.0859,100.00,0.1431,99.91
