step,train_loss,train_acc,val_loss,val_acc
0,4.7680,1.17,4.6940,0.76
50,4.5334,2.34,4.6719,0.73
100,4.0686,13.67,4.9929,0.78
150,3.4508,29.30,4.8906,2.67
200,2.3327,54.10,4.2348,9.04
250,1.5217,74.02,3.6368,19.17
300,0.7949,92.58,3.3279,29.94
350,0.5459,95.90,3.1011,38.77
400,0.3060,98.83,2.9293,45.79
450,0.2117,99.80,2.7797,49.45
500,0.1526,100.00,2.6811,51.36
550,0.1322,100.00,2.5727,52.70
600,0.1218,100.00,2.4874,53.62
650,0.1190,100.00,2.4018,54.03
700,0.1084,99.80,2.3191,54.64
750,0.1005,100.00,2.2464,54.95
800,0.1034,100.00,2.1792,55.42
850,0.0960,100.00,2.0925,55.63
900,0.0738,100.00,1.9898,56.03
950,1.3818,69.34,2.6305,32.02
1000,0.1574,99.61,1.3339,63.85
1050,0.0889,100.00,1.2136,64.75
1100,0.0784,100.00,1.1828,65.69
1150,0.0836,100.00,1.1325,67.30
1200,0.0929,100.00,1.1044,67.86
1250,0.1155,100.00,1.1486,68.48
1300,0.1695,99.80,0.6813,86.94
1350,0.0821,100.00,0.5249,91.00
1400,0.0761,100.00,0.5158,91.45
1450,0.0726,100.00,0.4911,92.59
1500,0.0794,100.00,0.4690,93.81
1550,0.0790,100.00,0.4345,94.31
1600,4.1351,9.18,4.1616,7.72
1650,0.1590,100.00,0.2809,99.53
