step,train_loss,train_acc,val_loss,val_acc
0,4.7872,1.17,4.6900,1.17
50,4.5760,1.76,4.6258,0.74
100,4.5227,1.56,4.7090,0.50
150,4.2825,9.96,4.8014,0.39
200,3.8461,21.29,4.3879,1.91
250,3.2314,28.91,3.5652,7.47
300,2.7736,36.72,3.1121,13.67
350,2.2903,57.03,2.5227,34.86
400,1.7913,82.23,2.0479,49.77
450,1.5846,83.01,1.6433,79.70
500,1.3973,92.58,1.5274,81.33
550,1.5699,67.19,1.4338,83.92
600,1.3873,79.49,1.3034,94.05
650,1.1651,98.24,1.2495,94.62
700,1.3090,85.94,1.2346,95.15
750,1.1519,98.24,1.2028,97.13
800,1.5853,50.20,2.2041,22.78
850,1.4032,76.76,1.4441,75.95
900,1.2865,89.84,1.2727,91.36
950,1.3326,82.03,1.4140,82.50
1000,2.5981,12.11,1.2720,88.27
1050,1.1981,96.88,1.2204,96.42
1100,1.5392,72.07,2.0232,31.99
1150,1.1500,96.68,1.2486,91.00
1200,1.2512,96.48,1.3755,88.63
1250,1.4058,86.33,1.2768,93.66
1300,1.0786,99.61,1.1252,99.04
1350,1.4328,80.27,1.4123,77.47
1400,1.3328,76.37,1.3995,69.82
1450,1.1084,99.41,1.2154,94.47
1500,1.9327,27.73,1.2766,88.45
1550,1.3060,90.04,1.4121,76.27
1600,0.9996,100.00,1.0321,99.68
