step,train_acc,test_acc,loss
1,2.1471088752150536,0.8714133873581886,4.728801727294922
2,3.252550959587097,0.573857594281435,4.648687839508057
3,4.336734488606453,0.38257171399891376,4.644197463989258
4,5.399659648537636,0.31880976166576147,4.612298011779785
5,5.846088379621506,0.2550478093326092,4.609019756317139
6,6.441326439380646,0.2125398488715291,4.566405296325684
7,6.3988097012043,0.2550478093326092,4.479076385498047
8,6.823979318141937,0.1487778965383768,4.545341968536377
9,7.079081237316132,0.10626992443576455,4.457679271697998
10,7.6530613005161285,0.10626992443576455,4.493152618408203
11,8.03571417927742,0.0637619523331523,4.4631195068359375
12,8.205781877040863,0.04250796919222921,4.420467853546143
13,8.48214253783226,0.04250796919222921,4.472529888153076
14,8.758503198623657,0.04250796919222921,4.389800071716309
15,8.886054158210754,0.04250796919222921,4.390429973602295
16,8.949829638004303,0.08501593838445842,4.404797554016113
17,8.737244457006454,0.0637619523331523,4.404285430908203
18,8.864795416593552,0.0637619523331523,4.3719940185546875
19,8.843537420034409,0.0637619523331523,4.311762809753418
20,8.949829638004303,0.0637619523331523,4.303889751434326
21,9.013605117797852,0.0637619523331523,4.347431659698486
22,8.886054158210754,0.0637619523331523,4.302713394165039
23,9.566326439380646,0.0637619523331523,4.305210113525391
24,9.842687100172043,0.0637619523331523,4.34391975402832
25,9.97023805975914,0.021253984596114606,4.284101486206055
26,10.11904776096344,0.0,4.206139087677002
27,10.437925159931183,0.0,4.206587791442871
28,10.586734116077423,0.0,4.196887969970703
29,10.756802558898926,0.0,4.235681533813477
30,11.30952388048172,0.0,4.20302152633667
31,11.373299360275269,0.0,4.148233413696289
32,11.989795416593552,0.0,4.1551666259765625
33,12.308673560619354,0.0,4.117059707641602
34,12.670068442821503,0.0,4.1514692306518555
35,12.882652878761292,0.0,4.1432204246521
36,13.137754797935486,0.0,4.0945515632629395
37,13.371598720550537,0.0,4.083191871643066
38,13.647958636283875,0.0,4.090649604797363
39,13.881802558898926,0.0,4.087885856628418
40,14.051871001720428,0.0,4.034895896911621
41,14.28571343421936,0.0,4.039621353149414
42,14.73214328289032,0.0,3.9913785457611084
43,15.008503198623657,0.0,4.012075424194336
44,14.795918762683868,0.0,3.974170684814453
45,14.817176759243011,0.0,4.011903762817383
46,15.646257996559143,0.0,4.021018028259277
47,15.837584435939789,0.0,4.011937141418457
48,16.07142835855484,0.0,3.95033597946167
49,16.857992112636566,0.0,3.965944766998291
50,16.943027079105377,0.0,3.9640023708343506
51,17.006802558898926,0.0,3.9468939304351807
52,17.34693795442581,0.0,3.9090657234191895
53,17.431972920894623,0.0,3.942368984222412
54,17.32567995786667,0.0,3.9607632160186768
55,17.006802558898926,0.0,3.923278331756592
56,17.538264393806458,0.0,3.9096405506134033
57,17.814625799655914,0.0,3.8656325340270996
58,17.70833283662796,0.0,3.8591060638427734
59,18.197278678417206,0.0,3.8262929916381836
60,18.579931557178497,0.0,3.78007435798645
61,18.81377547979355,0.0,3.8708813190460205
62,19.366496801376343,0.0,3.8241982460021973
63,19.749149680137634,0.021253984596114606,3.8866970539093018
64,20.53571343421936,0.021253984596114606,3.847414493560791
65,20.74829936027527,0.0,3.7587289810180664
66,21.173468232154846,0.0,3.766801357269287
67,21.534863114356995,0.0,3.692025661468506
68,22.045066952705383,0.0,3.8148674964904785
69,22.25765287876129,0.0,3.6993093490600586
70,22.491496801376343,0.0,3.7469160556793213
71,22.959183156490326,0.0,3.7428371906280518
72,23.384353518486023,0.0,3.7785263061523438
73,23.915815353393555,0.0,3.6701602935791016
74,24.808673560619354,0.0,3.64713191986084
75,25.573977828025818,0.0,3.671994686126709
76,25.51020383834839,0.0,3.602883815765381
77,25.765305757522583,0.0,3.595590114593506
78,26.211735606193542,0.0,3.57365083694458
79,27.040815353393555,0.0,3.58784818649292
80,27.01955735683441,0.0,3.579380989074707
81,27.89115607738495,0.0,3.5990231037139893
82,28.231292963027954,0.0,3.58187198638916
83,28.7202388048172,0.0,3.4807205200195312
84,29.570576548576355,0.0,3.5007991790771484
85,29.740646481513977,0.0,3.447364091873169
86,30.633503198623657,0.0,3.4517977237701416
87,31.866496801376343,0.0,3.414647102355957
88,32.75935351848602,0.0,3.3791041374206543
89,33.6522102355957,0.0,3.406580924987793
90,34.58758294582367,0.0,3.340298652648926
91,34.67261791229248,0.0,3.3595664501190186
92,35.20407974720001,0.0,3.356593132019043
93,36.13945543766022,0.0,3.273799419403076
94,37.0323121547699,0.0,3.2719786167144775
95,37.3724490404129,0.0,3.2503952980041504
96,37.84013390541077,0.0,3.2347536087036133
97,38.54166567325592,0.0,3.2445831298828125
98,38.881802558898926,0.0,3.180474281311035
99,39.625850319862366,0.0,3.2192578315734863
100,40.47619104385376,0.0,3.2127251625061035
101,41.73044264316559,0.0,3.121504783630371
102,43.00595223903656,0.0,3.1028778553009033
103,44.13265287876129,0.0,3.145270347595215
104,45.00425159931183,0.0,3.0976994037628174
105,45.83333134651184,0.0,3.006809949874878
106,46.25850319862366,0.0,3.0359416007995605
107,46.832481026649475,0.0,3.0004677772521973
108,48.022958636283875,0.0,2.961792230606079
109,48.53316247463226,0.0,2.94097900390625
110,49.362245202064514,0.0,2.9313535690307617
111,50.38264989852905,0.0,2.833327293395996
112,51.360541582107544,0.0,2.865762710571289
113,52.040815353393555,0.0,2.7714197635650635
114,53.74149680137634,0.0,2.7205634117126465
115,54.88945245742798,0.0,2.760617733001709
116,56.122446060180664,0.0,2.6521294116973877
117,56.90901279449463,0.0,2.7344870567321777
118,58.01445245742798,0.0,2.71757173538208
119,59.247446060180664,0.0,2.5970280170440674
120,60.671764612197876,0.0,2.5972981452941895
121,61.267006397247314,0.0,2.5710082054138184
122,61.64965629577637,0.0,2.4595088958740234
123,62.81887888908386,0.0,2.4507884979248047
124,63.435375690460205,0.0,2.4345526695251465
125,64.58333134651184,0.0,2.3453903198242188
126,65.3698980808258,0.0,2.3750503063201904
127,65.96513390541077,0.0,2.354041576385498
128,66.70918464660645,0.0,2.2367043495178223
129,66.8154776096344,0.0,2.2376060485839844
130,66.85799360275269,0.0,2.1449055671691895
131,67.87840127944946,0.0,2.2031097412109375
132,68.94132494926453,0.0,2.2039291858673096
133,69.53656077384949,0.0,2.072638511657715
134,70.57822942733765,0.0,2.077554702758789
135,71.30101919174194,0.0,2.013370990753174
136,72.5977897644043,0.0,2.0397701263427734
137,73.85203838348389,0.0,2.0926337242126465
138,74.97873902320862,0.0,2.02079439163208
139,75.85033774375916,0.0,1.8651328086853027
140,76.48809552192688,0.0,1.8339649438858032
141,77.35969424247742,0.0,1.936460018157959
142,77.59353518486023,0.0,1.8346928358078003
143,78.03996205329895,0.0,1.7235567569732666
144,79.01785373687744,0.021253984596114606,1.7355819940567017
145,80.59098720550537,0.021253984596114606,1.660630702972412
146,82.05782175064087,0.021253984596114606,1.7036991119384766
147,82.31292366981506,0.021253984596114606,1.6540048122406006
148,82.69557356834412,0.04250796919222921,1.6238751411437988
149,83.07822942733765,0.04250796919222921,1.601646900177002
150,83.26955437660217,0.021253984596114606,1.4926831722259521
151,83.80101919174194,0.0,1.5491318702697754
152,83.82228016853333,0.0,1.5166072845458984
153,84.60884094238281,0.0,1.4431015253067017
154,85.05526781082153,0.0,1.3934707641601562
155,85.54421663284302,0.0,1.340187668800354
156,86.37329936027527,0.0,1.3844765424728394
157,87.07482814788818,0.0,1.3450260162353516
158,87.7551019191742,0.0,1.3578290939331055
159,88.15901279449463,0.021253984596114606,1.2632060050964355
160,88.43536972999573,0.04250796919222921,1.2640469074249268
161,88.66921663284302,0.04250796919222921,1.2650656700134277
162,89.28571343421936,0.04250796919222921,1.2500221729278564
163,89.73214030265808,0.04250796919222921,1.1478948593139648
164,90.3698980808258,0.04250796919222921,1.0998127460479736
165,90.75254797935486,0.021253984596114606,1.0889434814453125
166,91.1564588546753,0.0,1.1584179401397705
167,91.56036972999573,0.021253984596114606,1.0756961107254028
168,91.75170063972473,0.021253984596114606,0.9674774408340454
169,92.11309552192688,0.04250796919222921,0.9982976317405701
170,92.66581535339355,0.08501593838445842,0.9625852108001709
171,92.87840127944946,0.0637619523331523,0.8493826389312744
172,93.36734414100647,0.0637619523331523,0.8845632076263428
173,93.57993006706238,0.04250796919222921,0.8804910182952881
174,94.13264989852905,0.04250796919222921,0.9039069414138794
175,94.60033774375916,0.0637619523331523,0.9287193417549133
176,94.87670063972473,0.04250796919222921,0.881447970867157
177,94.91921663284302,0.08501593838445842,0.7942754626274109
178,95.13180255889893,0.021253984596114606,0.814439058303833
179,95.15305757522583,0.04250796919222921,0.7950547337532043
180,95.64200639724731,0.021253984596114606,0.7726321816444397
181,96.34353518486023,0.021253984596114606,0.7317979335784912
182,96.51360511779785,0.0637619523331523,0.7797832489013672
183,96.72619104385376,0.0637619523331523,0.6774659156799316
184,96.875,0.0637619523331523,0.6941611766815186
185,96.72619104385376,0.04250796919222921,0.6325599551200867
186,96.8962550163269,0.021253984596114606,0.635898232460022
187,97.1513569355011,0.021253984596114606,0.6438539028167725
188,97.49149680137634,0.0637619523331523,0.6522932052612305
189,97.70407676696777,0.021253984596114606,0.5453065037727356
190,97.68282175064087,0.021253984596114606,0.6053819060325623
191,97.81036972999573,0.021253984596114606,0.5751415491104126
192,97.91666269302368,0.08501593838445842,0.5764667987823486
193,97.66156077384949,0.1275239046663046,0.4918528199195862
194,98.02295565605164,0.08501593838445842,0.5697996616363525
195,98.04421663284302,0.1275239046663046,0.507999837398529
196,98.21428656578064,0.1487778965383768,0.4957107901573181
197,98.51190447807312,0.1487778965383768,0.5141071081161499
198,98.57567548751831,0.19128585699945688,0.44689875841140747
199,98.61819744110107,0.17003187676891685,0.44701847434043884
200,98.57567548751831,0.1275239046663046,0.4390181303024292
201,98.5544204711914,0.1487778965383768,0.4281843304634094
202,98.8307774066925,0.1275239046663046,0.4418829083442688
203,99.0646243095398,0.1487778965383768,0.4148257374763489
204,99.10714030265808,0.17003187676891685,0.38502973318099976
205,99.12840127944946,0.1487778965383768,0.3647446930408478
206,99.10714030265808,0.17003187676891685,0.37921786308288574
207,99.19217228889465,0.2125398488715291,0.38457000255584717
208,99.23469424247742,0.2550478093326092,0.3528737425804138
209,99.23469424247742,0.2975557930767536,0.3761221170425415
210,99.34098720550537,0.2975557930767536,0.37528038024902344
211,99.42601919174194,0.23379384074360132,0.339765727519989
212,99.48979616165161,0.23379384074360132,0.3252280056476593
213,99.57482814788818,0.19128585699945688,0.2839853763580322
214,99.5323121547699,0.19128585699945688,0.33322227001190186
215,99.57482814788818,0.19128585699945688,0.3069736361503601
216,99.5535671710968,0.2125398488715291,0.29770544171333313
217,99.59608912467957,0.19128585699945688,0.2760474681854248
218,99.61734414100647,0.19128585699945688,0.27273330092430115
219,99.61734414100647,0.2550478093326092,0.23848199844360352
220,99.70237612724304,0.2550478093326092,0.27652013301849365
221,99.68112111091614,0.2125398488715291,0.28157442808151245
222,99.70237612724304,0.19128585699945688,0.24791887402534485
223,99.7448980808258,0.19128585699945688,0.2378617823123932
224,99.7448980808258,0.23379384074360132,0.23487767577171326
225,99.76615309715271,0.19128585699945688,0.20206987857818604
226,99.808669090271,0.19128585699945688,0.2205543965101242
227,99.808669090271,0.19128585699945688,0.23425981402397156
228,99.78741407394409,0.2550478093326092,0.23391835391521454
229,99.85119104385376,0.2550478093326092,0.22246453166007996
230,99.85119104385376,0.2125398488715291,0.23037190735340118
231,99.82993006706238,0.2550478093326092,0.2159193754196167
232,99.82993006706238,0.2550478093326092,0.20377404987812042
233,99.85119104385376,0.2763018012046814,0.18505345284938812
234,99.87244606018066,0.31880976166576147,0.18410538136959076
235,99.87244606018066,0.2975557930767536,0.2008412778377533
236,99.93622303009033,0.2975557930767536,0.1596631407737732
237,99.97873902320862,0.2975557930767536,0.17028126120567322
238,99.97873902320862,0.2763018012046814,0.15221436321735382
239,99.95747804641724,0.31880976166576147,0.18637245893478394
240,99.87244606018066,0.31880976166576147,0.15504761040210724
241,99.89370703697205,0.3613177454099059,0.15871240198612213
242,99.89370703697205,0.403825705870986,0.168664813041687
243,99.91496205329895,0.4250796977430582,0.15929830074310303
244,99.93622303009033,0.3400637535378337,0.1552513986825943
245,99.95747804641724,0.2763018012046814,0.16375742852687836
246,99.95747804641724,0.2975557930767536,0.1505722850561142
247,99.95747804641724,0.2975557930767536,0.1476728469133377
248,99.97873902320862,0.3400637535378337,0.14734776318073273
249,99.97873902320862,0.3400637535378337,0.1317651867866516
250,99.95747804641724,0.38257171399891376,0.1469096839427948
251,99.95747804641724,0.38257171399891376,0.1352969855070114
252,99.97873902320862,0.5100956186652184,0.13771763443946838
253,99.97873902320862,0.5100956186652184,0.15358416736125946
254,99.97873902320862,0.4463336896151304,0.12399573624134064
255,99.97873902320862,0.38257171399891376,0.12763461470603943
256,99.97873902320862,0.38257171399891376,0.13397501409053802
257,99.97873902320862,0.38257171399891376,0.12116517126560211
258,99.97873902320862,0.4250796977430582,0.1226816177368164
259,99.97873902320862,0.4250796977430582,0.1336384117603302
260,99.97873902320862,0.4463336896151304,0.11271177232265472
261,99.97873902320862,0.4463336896151304,0.11221927404403687
262,99.97873902320862,0.403825705870986,0.12081064283847809
263,100.0,0.5100956186652184,0.12229933589696884
264,100.0,0.48884162679314613,0.11157744377851486
265,100.0,0.4250796977430582,0.10283421725034714
266,100.0,0.5100956186652184,0.0964699536561966
267,100.0,0.4250796977430582,0.1293591856956482
268,100.0,0.3613177454099059,0.10871610790491104
269,100.0,0.3613177454099059,0.09929034113883972
270,100.0,0.38257171399891376,0.10927450656890869
271,100.0,0.403825705870986,0.11220590770244598
272,100.0,0.48884162679314613,0.09886176884174347
273,100.0,0.4463336896151304,0.11221668124198914
274,100.0,0.3400637535378337,0.10640646517276764
275,99.97873902320862,0.31880976166576147,0.09997943043708801
276,99.97873902320862,0.3400637535378337,0.10080143809318542
277,99.97873902320862,0.2975557930767536,0.0998842790722847
278,99.97873902320862,0.31880976166576147,0.09802238643169403
279,99.97873902320862,0.3613177454099059,0.09668585658073425
280,100.0,0.38257171399891376,0.11113119125366211
281,99.97873902320862,0.38257171399891376,0.09473418444395065
282,100.0,0.38257171399891376,0.09513863921165466
283,100.0,0.4250796977430582,0.08630652725696564
284,100.0,0.4463336896151304,0.09180346131324768
285,100.0,0.3400637535378337,0.08613242208957672
286,100.0,0.3400637535378337,0.08516636490821838
287,100.0,0.403825705870986,0.09955303370952606
288,100.0,0.46758768148720264,0.07937514781951904
289,100.0,0.5526036024093628,0.09047521650791168
290,100.0,0.5526036024093628,0.08386038988828659
291,100.0,0.48884162679314613,0.0735810399055481
292,100.0,0.48884162679314613,0.10083429515361786
293,100.0,0.5526036024093628,0.09521178901195526
294,100.0,0.573857594281435,0.08075688779354095
295,100.0,0.5951115861535072,0.07458274066448212
296,100.0,0.573857594281435,0.0726933479309082
297,100.0,0.6588735152035952,0.09018909186124802
298,100.0,0.7226354908198118,0.07448800653219223
299,100.0,0.743889482691884,0.07835937291383743
300,100.0,0.7226354908198118,0.10433200001716614
301,100.0,0.7226354908198118,0.07180169224739075
302,100.0,0.7013814989477396,0.0774119645357132
303,100.0,0.743889482691884,0.08185739815235138
304,100.0,0.7226354908198118,0.08335138112306595
305,100.0,0.6163655314594507,0.07964218407869339
306,100.0,0.6588735152035952,0.08348578959703445
307,100.0,0.5313496105372906,0.0911816731095314
308,100.0,0.5100956186652184,0.06535828858613968
309,100.0,0.4463336896151304,0.0779818594455719
310,100.0,0.573857594281435,0.07189778983592987
311,100.0,0.5313496105372906,0.07010583579540253
312,100.0,0.5526036024093628,0.0700932964682579
313,100.0,0.5100956186652184,0.09131226688623428
314,100.0,0.5526036024093628,0.07504142820835114
315,100.0,0.6801275070756674,0.07127152383327484
316,100.0,0.6588735152035952,0.07809128612279892
317,100.0,0.6376195233315229,0.07027833163738251
318,100.0,0.5951115861535072,0.07696901261806488
319,100.0,0.573857594281435,0.07104971259832382
320,100.0,0.6376195233315229,0.0669364333152771
321,100.0,0.6163655314594507,0.06406450271606445
322,100.0,0.5951115861535072,0.07048970460891724
323,100.0,0.5951115861535072,0.07284361124038696
324,100.0,0.6376195233315229,0.07247951626777649
325,100.0,0.7226354908198118,0.07262396812438965
326,100.0,0.743889482691884,0.06280120462179184
327,100.0,0.7863974198698997,0.06216121464967728
328,100.0,0.8501593954861164,0.07130511850118637
329,100.0,0.807651411741972,0.06867167353630066
330,100.0,0.807651411741972,0.07566839456558228
331,100.0,0.7013814989477396,0.06706380844116211
332,100.0,0.6801275070756674,0.06787660717964172
333,100.0,0.7651434279978275,0.07279364764690399
334,100.0,0.807651411741972,0.06490347534418106
335,100.0,0.8501593954861164,0.06991280615329742
336,100.0,0.8714133873581886,0.07272768765687943
337,100.0,0.8714133873581886,0.06678485870361328
338,100.0,0.807651411741972,0.06289646774530411
339,100.0,0.7863974198698997,0.07079736888408661
340,100.0,0.807651411741972,0.06964169442653656
341,100.0,0.8501593954861164,0.06589014828205109
342,100.0,0.9139213711023331,0.05904027819633484
343,100.0,0.8714133873581886,0.06465228646993637
344,100.0,1.1052072048187256,0.07771876454353333
345,100.0,1.0839532129466534,0.06702686846256256
346,100.0,1.2114771641790867,0.06750534474849701
347,100.0,1.2114771641790867,0.06249704584479332
348,100.0,1.2114771641790867,0.0782257467508316
349,100.0,1.1689691804349422,0.06868825107812881
350,100.0,1.1689691804349422,0.059860967099666595
351,100.0,1.14771518856287,0.058057740330696106
352,100.0,1.041445229202509,0.07020272314548492
353,100.0,0.9776832535862923,0.07065117359161377
354,100.0,0.95642926171422,0.07886001467704773
355,100.0,0.743889482691884,0.08217979222536087
356,100.0,0.8926673792302608,0.06627041101455688
357,100.0,0.807651411741972,0.06892141699790955
358,100.0,0.8289054036140442,0.07165433466434479
359,100.0,0.9139213711023331,0.0770367830991745
360,100.0,0.9989372454583645,0.07461308687925339
