step,train_loss,train_acc,val_loss,val_acc
0,4.7538,1.76,4.7177,0.90
50,4.5384,1.76,4.6749,0.52
100,4.1626,13.67,4.9885,0.68
150,3.5176,28.91,4.9451,2.10
200,2.9523,40.62,4.8197,4.49
250,2.1738,60.94,4.6145,8.85
300,1.5774,74.80,4.3405,16.48
350,1.0148,88.09,4.0145,25.57
400,0.6801,91.80,3.7079,35.11
450,0.4237,97.85,3.4931,42.05
500,0.2636,100.00,3.3429,46.14
550,0.1674,100.00,3.2285,49.70
600,0.1155,100.00,3.1713,50.41
650,0.0967,100.00,3.1198,51.12
700,0.0654,100.00,3.0786,51.83
750,0.0638,99.80,3.0907,52.00
800,0.0621,100.00,3.0954,51.97
850,0.0581,99.80,3.1385,51.22
900,0.0421,100.00,2.9621,53.27
950,0.0236,100.00,2.9089,53.77
1000,0.5504,88.87,3.3355,39.15
1050,0.0487,100.00,2.7759,53.25
1100,0.0401,100.00,2.6176,54.19
1150,0.0733,100.00,2.6826,53.01
1200,0.0894,100.00,2.5142,54.33
1250,0.0551,100.00,2.3596,54.92
1300,0.1710,99.41,2.7158,49.26
1350,0.0795,100.00,2.1641,55.73
1400,0.0481,100.00,2.0478,56.22
1450,0.4166,95.31,2.2744,48.83
1500,0.0644,100.00,1.6886,59.10
1550,0.0620,100.00,1.5837,59.79
1600,0.1677,99.41,1.4456,62.55
1650,0.0561,100.00,1.1170,67.37
1700,0.0660,100.00,1.0251,70.48
1750,0.1060,100.00,0.7168,80.38
1800,0.0533,100.00,0.5126,88.10
1850,0.1260,99.80,0.8541,81.30
1900,0.0620,100.00,0.2643,97.66
1950,0.0425,100.00,0.1822,99.15
2000,0.0388,100.00,0.1447,99.72
