step,train_loss,train_acc,val_loss,val_acc
0,4.7609,1.95,4.7043,0.94
50,3.9860,14.45,5.0199,0.84
100,2.9727,41.80,5.2014,2.64
150,1.7536,74.02,5.3748,5.06
200,0.8432,94.92,5.5523,8.18
250,0.3178,99.22,5.6932,10.97
300,0.1424,99.80,5.7881,12.84
350,0.0742,100.00,5.8305,14.01
400,0.0490,100.00,5.8574,14.74
450,0.0304,100.00,5.9066,15.63
500,0.0212,100.00,5.9504,16.20
550,0.0792,99.61,6.1723,14.23
600,0.0112,100.00,6.3045,16.61
650,0.0073,100.00,6.1982,17.66
700,0.0070,100.00,6.1851,17.93
750,0.3109,97.27,6.2054,11.12
800,0.0231,100.00,6.3401,16.51
850,0.0207,100.00,6.0798,17.46
900,0.0226,100.00,5.9283,17.93
950,1.8325,64.26,5.6618,7.01
1000,0.0548,100.00,6.0694,16.03
1050,0.0392,100.00,5.8703,17.57
1100,0.0401,100.00,5.7700,18.07
1150,0.1369,99.61,6.0142,14.94
1200,0.0418,100.00,5.8625,17.76
1250,0.0388,100.00,5.7150,18.34
1300,0.3324,98.24,6.0094,13.01
1350,0.0441,100.00,5.8473,17.66
1400,0.0445,100.00,5.7111,18.46
1450,0.2651,99.61,5.8594,14.10
1500,0.0463,100.00,5.7887,17.81
1550,0.0439,100.00,5.6688,18.32
1600,0.1670,100.00,5.8372,14.85
1650,0.0511,100.00,5.7085,18.27
1700,3.1093,33.40,5.2200,4.17
1750,0.0860,100.00,5.7552,17.46
1800,0.0553,100.00,5.6026,18.25
1850,1.7367,64.65,5.7718,6.33
1900,0.0895,100.00,5.7064,17.91
1950,0.0528,100.00,5.5930,18.96
2000,0.4029,98.83,5.7050,13.59
2050,0.0561,100.00,5.6453,18.53
2100,0.0576,100.00,5.5405,19.20
2150,0.2122,100.00,5.7327,15.83
2200,0.0594,100.00,5.6311,19.26
2250,0.0588,100.00,5.5076,19.63
2300,0.1740,100.00,5.6994,16.91
2350,0.0609,100.00,5.5810,19.47
2400,0.8957,86.33,5.6952,9.93
2450,0.0658,100.00,5.6047,19.44
2500,0.0589,100.00,5.4927,20.07
2550,0.6639,94.34,5.7218,12.36
2600,0.0887,100.00,5.5469,19.31
2650,0.0738,100.00,5.4492,19.91
2700,0.2016,100.00,5.5552,16.62
2750,0.0648,100.00,5.5031,19.97
2800,2.2538,47.27,5.9287,3.54
2850,0.1111,100.00,5.5897,18.69
2900,0.0710,100.00,5.4832,19.97
2950,0.2643,99.61,5.6408,15.12
3000,0.0713,100.00,5.4983,20.22
3050,3.1197,23.24,5.5122,4.79
3100,0.1044,100.00,5.5650,18.42
3150,0.0618,100.00,5.4183,21.03
3200,0.3978,97.46,5.5074,14.71
3250,0.0670,100.00,5.4550,20.18
3300,0.0707,100.00,5.3701,20.05
3350,0.1557,100.00,5.4189,17.60
3400,0.0625,100.00,5.3229,20.59
3450,1.4250,75.78,5.7287,4.73
3500,0.0901,100.00,5.3505,19.82
3550,0.0683,100.00,5.2487,20.89
3600,0.5038,97.66,5.2173,14.45
3650,0.0765,100.00,5.2120,20.67
3700,0.2575,100.00,5.6118,6.80
3750,0.1268,100.00,5.1704,19.67
3800,0.0671,100.00,5.0810,21.50
3850,0.4032,97.27,5.0697,15.53
3900,0.0666,100.00,5.0638,21.23
3950,0.0741,100.00,5.0291,20.28
4000,0.1615,100.00,4.9506,19.26
4050,0.0669,100.00,4.9440,21.06
4100,0.8029,91.60,5.1548,12.24
4150,0.0805,100.00,4.9569,20.46
4200,0.0741,100.00,4.8811,21.11
4250,0.1186,99.80,4.9079,19.24
4300,0.0642,100.00,4.8234,21.28
4350,1.0063,81.25,4.7494,12.72
4400,0.0826,100.00,4.7402,20.87
4450,0.0609,100.00,4.6548,22.05
4500,0.1924,99.80,4.6555,18.82
4550,0.0588,100.00,4.6042,21.82
4600,2.0549,69.14,4.5257,11.14
4650,0.0841,100.00,4.5614,21.16
4700,0.0586,100.00,4.5110,22.13
4750,0.4028,99.02,4.4883,16.96
4800,0.0688,100.00,4.4508,21.82
4850,0.0679,100.00,4.3804,22.56
4900,0.1126,100.00,4.3652,21.04
4950,0.0588,100.00,4.3473,22.26
5000,1.8013,65.43,4.5212,11.17
5050,0.0876,100.00,4.2823,21.98
5100,0.0583,100.00,4.2431,22.80
5150,1.0491,83.98,4.2875,13.42
5200,0.0799,100.00,4.1726,22.40
5250,0.0605,100.00,4.1076,23.17
5300,0.2351,99.80,4.0193,19.90
5350,0.0625,100.00,4.0128,23.11
5400,0.0579,100.00,3.9781,23.51
5450,0.2464,100.00,3.9236,20.22
5500,0.0618,100.00,3.8764,23.93
5550,0.0587,100.00,3.8536,23.95
5600,0.1247,100.00,3.7719,23.21
5650,0.0572,100.00,3.7238,24.59
5700,0.0597,100.00,3.7181,24.74
5750,0.1278,100.00,3.5247,24.50
5800,0.0545,100.00,3.4818,25.89
5850,0.0619,100.00,3.4677,26.06
5900,0.1131,100.00,3.2387,26.77
5950,0.0557,100.00,3.1824,27.66
6000,0.0522,100.00,3.1873,28.03
6050,0.1401,99.80,2.8869,29.42
6100,0.0513,100.00,2.8536,30.52
6150,0.0592,100.00,2.8781,30.66
6200,0.2049,99.80,2.7559,30.74
6250,0.0600,100.00,2.6296,32.37
6300,0.0628,100.00,2.5794,33.37
6350,0.1293,100.00,2.2632,37.23
