step,train_loss,train_acc,val_loss,val_acc
0,4.7691,0.39,4.7233,0.99
50,4.4051,3.91,4.7548,0.39
100,3.9753,16.80,5.0549,0.78
150,3.4019,29.30,5.1064,1.68
200,2.9809,40.62,5.1105,3.44
250,2.4955,53.32,5.1388,4.92
300,2.3063,50.78,5.1712,6.36
350,1.8358,67.58,5.1692,8.77
400,1.5827,69.34,5.1987,10.18
450,1.3658,76.95,5.1955,12.50
500,1.1636,81.25,5.2418,13.58
550,1.0415,82.81,5.2854,14.97
600,0.8938,85.55,5.2870,16.68
650,0.7786,87.70,5.3336,18.33
700,0.6179,91.41,5.3685,18.31
750,0.6043,91.80,5.3528,19.84
800,0.5623,93.36,5.3516,21.31
850,0.5692,91.60,5.3303,21.54
900,0.4172,96.09,5.3412,21.71
950,0.4605,92.97,5.3256,23.17
1000,0.3701,96.09,5.2897,23.04
1050,0.4337,95.51,5.2010,24.32
1100,0.3972,95.31,5.1895,23.88
1150,0.3224,97.27,5.0816,24.60
1200,0.4543,92.77,5.0711,24.16
1250,0.2905,97.27,4.8629,27.70
1300,0.3148,96.29,4.8280,26.37
1350,0.5567,90.23,4.7284,26.50
1400,0.3402,97.27,4.4723,29.44
1450,0.2560,99.22,4.3662,29.51
1500,0.3143,96.48,4.1717,31.30
1550,0.2634,97.46,3.9404,32.80
1600,0.2574,98.44,3.7892,33.40
1650,0.2434,97.85,3.6006,33.97
1700,0.2972,97.46,3.4000,34.45
1750,0.2309,97.85,2.9862,37.89
1800,0.2298,98.24,2.6374,41.07
1850,0.1684,98.83,2.3158,44.37
1900,0.1435,99.22,2.0612,47.47
1950,0.1890,98.24,1.7076,53.15
2000,0.1059,99.80,1.2276,63.78
2050,0.1135,99.41,1.0197,69.89
2100,0.0969,99.61,0.6373,82.15
2150,0.1486,99.22,0.4389,88.81
2200,0.0511,99.80,0.3288,92.65
2250,0.0671,99.80,0.1449,97.98
2300,0.0536,100.00,0.1203,98.64
2350,0.0364,99.80,0.0499,99.89
