step,train_loss,train_acc,val_loss,val_acc
0,4.7923,1.95,4.7086,1.13
50,4.5537,2.34,4.6814,0.49
100,4.2087,10.16,4.9982,0.57
150,3.6927,23.24,5.0181,1.42
200,3.2899,32.42,4.9705,3.04
250,2.8582,41.99,4.8823,4.17
300,2.5388,49.80,4.7484,6.08
350,2.3475,51.95,4.6252,7.93
400,1.9268,62.11,4.3777,11.16
450,1.6668,66.80,4.0331,15.90
500,1.4370,72.46,3.5882,22.27
550,1.0671,84.77,3.0689,29.54
600,0.9392,85.16,2.7662,34.54
650,0.7118,88.48,2.3720,41.08
700,0.5993,94.34,1.9918,48.29
750,0.4869,95.31,1.5374,57.32
800,0.2815,99.41,1.1462,67.50
850,0.3303,98.05,0.8399,78.09
900,0.2030,99.41,0.5213,89.93
950,0.1122,100.00,0.2565,97.90
1000,0.1000,99.80,0.1684,98.96
1050,0.0839,100.00,0.1079,99.83
