step,train_loss,train_acc,val_loss,val_acc
0,4.7516,0.78,4.6826,1.06
50,4.5965,1.17,4.6376,0.98
100,4.3531,5.08,4.8935,0.58
150,4.0101,15.82,4.9709,0.96
200,3.5746,23.05,4.9102,2.05
250,3.2359,36.33,4.8318,3.24
300,2.9189,40.62,4.6834,4.76
350,2.5330,49.22,4.4689,7.09
400,2.1763,59.18,4.1203,11.37
450,1.8201,62.89,3.5278,19.00
500,1.4800,69.73,2.8042,30.29
550,1.1026,82.03,2.1323,43.81
600,0.8186,89.45,1.5927,57.31
650,0.5988,92.77,1.1161,72.72
700,0.4144,96.88,0.7581,83.79
750,0.2437,98.83,0.4691,93.01
800,0.1832,99.61,0.2639,97.24
850,0.1203,99.61,0.1694,98.80
900,0.0729,100.00,0.1041,99.52
