step,train_loss,train_acc,val_loss,val_acc
0,4.7732,0.59,4.6980,0.92
50,4.5858,0.39,4.6091,0.57
100,4.5603,1.95,4.6867,0.42
150,4.3489,7.42,4.8811,0.42
200,3.9168,14.65,4.6842,1.27
250,3.2282,24.41,3.7608,5.31
300,2.3278,43.75,2.5621,19.12
350,1.8249,51.17,2.0200,29.67
400,1.4690,66.60,1.6530,41.50
450,1.2707,60.94,1.3595,50.14
500,1.0017,72.27,1.0843,63.39
550,0.7920,84.38,0.8740,77.69
600,0.6451,85.16,0.6523,87.39
650,0.4297,95.31,0.4251,96.03
700,0.3105,96.29,0.3051,97.24
750,0.2361,99.22,0.2258,97.66
800,0.1476,99.80,0.1324,99.29
850,0.1217,99.22,0.0919,99.72
